Member,MaxAge,MinAge,MidAge,TrionychidMass,LogTrionychid,LogTrionychidInterpolated,PelomedusidMass,LogPelomedusid,AquaticMass,LogAquatic_Delta,TestudinidMass,LogTestudinid,LogTestudinidInterpolated,EuthecodonMass,EuthecodonLength,LogEuthecodon,CrocodylusMass,CrocodylusInterpolated,LogCrocodylus,LogCrocodylusInterpolated,CrocodylusLength,MecistopsMass,LogMecistops,LogMecistops_Interpolated,MecistopsLength,ReptileSampling,TurtleSampling,CrocSampling,SquamateSampling,VaranusMass,LogVaranus,PythonMass_Interpolated,PythonMass,LogPython,LogPythonInterpolated,OverallHerbivoreDeltaC13,OverallHerbivoreDeltaO18,AAHbovidPercent,RedunciniPercent,ProportionBovidae,ProportionSuidae,ProportionCercopithicidae,ProportionHominidae,ProportionGrasslandIndicator,LakeLevel,LevinDeltaC13,LevinDeltaO18,Hippos_protkaru,LogHippos_protkaru,Hippos_aethi,LogHippos_aethi,LogHippos_aethiInterpolated,Hippopotamus,LogHippopotamus,LogHippopotamusInterpolated,LLAge,NutzLakeLevel,LevinAge,Levind18O,LevindC13,Aepycerotini,Alcelaphini,Antilopini,Bovini,Neotragini,Ovibovini,Reduncini,Tragelaphini,LogTragelaphini,Bovidae,LogBovidae_Delta,Cercopithecidae,Equidae,LogEquidae,PasseySoilTemp,PasseyMAT,HFprecip,HeinzelinEnv,HeinzelinMaxLake
A,3.596,3.438,-3.5171,,,,,,,,,,,,,,226.1,226.1,2.354300562,2.354300562,329.4,,,,,25,18,7,0,,,,,,,-5.748076923,-1.417307692,,,0.166666667,0.6,,0.233333333,,9.045,NA,NA,1415.902527,3.151033357,,,,,,,-3.619147497,0.41,-3.2,-5.8,-9.7,44.1,,,,,,,198.1,2.296884476,198.1,2.296884476,,,,,,,2,2
B,3.438,2.937,-3.1877,27.7,1.442479769,1.442479769,3.54,0.549003262,27.7,1.442479769,66.1,1.820201459,1.820201459,1300.3,616.9,3.114043563,714.9,714.9,2.854245297,2.854245297,497.6,,,,,70,13,32,3,,,5.59,5.59,0.747411808,0.747411808,-3.888957055,-1.409815951,4.5,35.8,0.288069414,0.303253796,0.018221258,0.377874187,0.009110629,6.93,-9.393638992,-5.416666667,1439.101526,3.158091434,,,,,,,-3.614456473,0,-3.17,-5.8,-8.7,,,31.1,772.4,,,112.9,272,2.434568904,772.4,2.887842265,,373.7,2.572523098,30.8,27.33708,936,2.3125,4
C,2.937,2.542,-2.7397,,,1.261602035,4.74,0.675778342,4.74,0.675778342,151.3,2.179838928,2.179838928,1660.6,673,3.220265034,339.6,339.6,2.530967682,2.530967682,381.1,545.8,2.737033531,2.737033531,451.7,184,55,78,9,1.98,0.29666519,41.13,41.13,1.61415871,1.61415871,-3.387591241,-0.650364964,2.6,17.2,0.35804133,0.098382749,0.013926325,0.519766397,0.009883199,1.05,-8.627288999,-5.066666667,1478.797835,3.169908806,,,,,,,-3.598331078,0.01,-3.13,-5.7,-10.1,,,31.7,340.2,,283.8,26.6,289.2,2.461198289,340.2,2.531734309,22.3,379.2,2.578868329,32.7,27.88827,982,2.3,3
D,2.526,2.387,-2.4565,,,1.147261468,3.42,0.534026106,3.42,0.534026106,83.9,1.923761961,1.923761961,1328.6,621.3,3.123394248,252.8,252.8,2.40277707,2.40277707,342.8,,,2.797327583,,22,4,6,4,3.08,0.488550717,38.6,38.6,1.586587305,1.586587305,-3.073195876,-0.54742268,4,17.2,0.402777778,0.155864198,0.021604938,0.395061728,0.030864198,2.965,-7.49070632,-4.85,1516.01353,3.180703077,,,,,,,-3.571944069,6.58,-3.13,-5.2,-9.9,,,,,,229.8,,313.7,2.496514519,313.7,2.496514519,,388.1,2.588943643,35.65,28.744065,517,2,2
E,2.387,2.328,-2.3573,12.8,1.10720997,1.10720997,4.01,0.603144373,12.8,1.10720997,155.6,2.192009593,2.192009593,1042.6,569.6,3.018117721,937.7,937.7,2.972063916,2.972063916,584.4,,,2.818447534,,699,110,572,7,5.1,0.707570176,8.9,8.9,,1.799600535,-2.911864407,0.061864407,3.5,19.5,0.50474547,0.184641933,0.014667817,0.284728214,0.023295945,5.14,-8.40251962,-4.7,1658.945365,3.219832083,,,,,,,-3.477830401,11.51,-2.97,-5.1,-9.3,57.9,,,,,,35.1,309.2,2.490239485,309.2,2.490239485,28.5,344,2.536558443,,,516,2,2
F,2.324,2.286,-2.3051,15,1.176091259,1.176091259,3.85,0.58546073,15,1.176091259,,,2.106781727,1660.6,606.5,3.220265034,1090.4,1090.4,3.037585843,3.037585843,578.9,675.4,2.829561056,2.829561056,487.6,452,121,277,6,4.13,0.615950052,81.6,81.6,1.911690159,1.911690159,-2.863358779,0.584732824,8.8,20.2,0.506127451,0.134803922,0.022671569,0.315563725,0.063112745,6.413333333,-8.081371334,-3.6,2053.386444,3.312470691,,,,2717.449315,3.434161453,3.434161453,-3.028664862,6.93,-2.97,-4.9,-8.6,,43.1,23.6,,11.1,,,807,2.906873535,807,2.906873535,29.7,350.3,2.544440137,,,606,2.2,3
GL,2.271,2.062,-2.1667,,,1.238727815,4.35,0.638489257,4.35,0.638489257,76,1.880813592,1.880813592,1701.6,679,3.230857477,636.5,636.5,2.803798408,2.803798408,477.3,396.8,2.598571663,2.598571663,402.9,160,16,88,5,2.58,0.411619706,30.67,30.67,1.486713776,1.486713776,-2.906410256,0.125641026,3.5,42.4,0.67083215,0.127236581,0.022720818,0.174382278,0.044021585,7.125,-9.120198265,-4.421428571,1615.968774,3.208432964,672.607122,2.827761462,2.827761462,2449.145442,3.389014576,3.389014576,-2.642534957,1.05,-2.81,-4.6,-8.6,70.2,145.3,46.8,600.8,13.7,223.3,98,323.6,2.510008513,600.8,2.778729924,27.3,318.8,2.503518313,33,27.9753,463,2.615384615,6
GU,2.062,1.911,-1.9868,20.9,1.320146286,1.320146286,1.91,0.281033367,20.9,1.320146286,57.7,1.761175813,1.761175813,1817.6,695.2,3.259498314,755.9,755.9,2.878464345,2.878464345,507.6,537.1,2.730055152,2.730055152,449.1,66,13,32,3,2.58,0.411619706,52.99,52.99,1.72419392,1.72419392,-1.758208955,-1.813432836,27.8,36.7,0.75862069,0.117241379,0.05862069,0.062068966,0.117241379,11.4,-6.789033457,,2258.688996,3.353856436,,,2.862044279,1996.445264,3.300257408,3.300257408,-2.513238611,1.7,-2.78,-4.3,-7.9,,198.1,28.3,,,,,213.6,2.329601248,213.6,2.329601248,,304.1,2.48301642,,,,6.625,7
H,1.911,1.778,-1.8443,,,,,,,,119.7,2.07809415,2.07809415,1337.4,622.8,3.126261319,,771.5550517,,2.887250618,,,,2.642048158,,22,2,13,0,,,33.34095861,,,1.360427457,-2.638181818,-1.156363636,9.8,81.7,0.8,0.132432432,0.02972973,0.035135135,0.075675676,5.67,-6.014928896,-3.616666667,1555.523577,3.191876598,774.8184078,2.88919993,2.88919993,,,3.410591978,-2.430559314,4.23,-2.75,-6.3,-9.9,,131.8,,,,,86.8,151,2.178976947,151,2.178976947,22.5,,,29.7,27.01797,,6,6
J,1.76,1.556,-1.6582,,,,,,,,,,,1270.3,612.5,3.103906298,792,792,2.898725182,2.898725182,516.2,336.6,2.527114112,2.527114112,379.9,13,1,9,1,,,7.68,7.68,0.88536122,0.88536122,-1.481818182,0.612121212,14.8,72.2,0.63125,0.28125,0.03125,0.05625,0.18125,5.354,-6.174445822,-2,2414.551158,3.382836411,632.154039,2.800822917,2.800822917,3586.617439,3.554685056,3.554685056,-2.368110059,6.14,-2.51,-4.5,-7,,,,,,,,448.1,2.651374944,449.3,2.652536419,,,,,,,3.75,6
K,1.526,1.39,-1.4579,,,,,,,,,,,1512.5,611.4,3.179695383,339.6,339.6,2.530967682,2.530967682,381.1,,,2.722259808,,13,1,12,2,5.1,0.707570176,15.50496427,,,1.122159555,-2.283333333,0.075,33.3,52.9,0.49726776,0.327868852,0.098360656,0.06557377,0.196721311,7.97,-6.584744596,-1.766666667,2494.365118,3.396960025,716.7320303,2.855356813,2.855356813,,,3.528751557,-2.336445647,4.14,-2.46,-5.2,-8,,449.3,,,,,,233.4,2.368100852,449.3,2.652536419,,,,,,,0,0
L,1.383,1.094,-1.2384,,,,6.83,,6.83,0.834420704,,,,2303.1,756.8,3.362312795,453.6,453.6,2.656673046,2.656673046,422.7,863.2,2.936111432,2.936111432,532.3,97,13,66,15,,,24.08,24.08,1.381656483,1.381656483,-0.847115385,1.926923077,19.4,67.7,0.644230769,0.240384615,0.048076923,0.067307692,0.134615385,,,-0.8,2512.299656,3.400071439,687.5063519,2.837276715,2.837276715,3164.697266,3.500332172,3.500332172,-2.316508796,5.76,-2.37,-5.2,-8.9,70.7,,,,,,79.5,,,79.5,1.900367129,32.6,,,,,,1.375,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.296571944,7.69,-2.37,-5.1,-8.7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.27458277,5.79,-2.35,-5.5,-8.6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.253473162,5.05,-2.35,-4.7,-7.7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.188092016,7.17,-2.35,-3.5,-8.4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.130626973,9.38,-2.33,-4.2,-8.2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.085182679,6.9,-2.31,-3.2,-8.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.02097429,11.4,-2.31,-3.2,-8.3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.894609833,7.62,-2.3,-4.4,-7.7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.79345963,3.72,-2.24,-4.4,-10.2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.73218313,6.5,-2.22,-4,-9.3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.675890843,8.13,-2.19,-3.3,-8.6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.630739738,6.02,-2.17,-5.1,-8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.597609382,4.3,-2.15,-3.5,-9.2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.53105548,1.82,-2.14,-3.1,-9.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.48150654,7.45,-2.13,-3.5,-9.4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.427266576,5.02,-2.12,-3,-9.9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.383288227,11.44,-2.12,-1.4,-9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.11,-8.3,-9.1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1,-4.7,-8.8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.09,-5.6,-9.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.08,-6.3,-9.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.07,-5.7,-9.7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.88,-3.6,-6.3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.88,-3.3,-6.8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.88,-2.9,-4.2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.843,-4.1,-8.7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8,-4.3,-7.1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.78,-3.5,-5.9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.65,-1.8,-6.2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.65,-1.7,-4.9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.59,-2.7,-6.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.55,-1.8,-5.9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,-2.8,-6.4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.45,-0.9,-5.3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,-1.6,-7.3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,-1.3,-6.7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.18,-0.3,-6.5,,,,,,,,,,,,,,,,,,,
